time(100ns)   time_stamp(ms)    frame eye_valid_L   eye_valid_R   openness_L    openness_R    pupil_diameter_L(mm)  pupil_diameter_R(mm)  pos_sensor_L.x    pos_sensor_L.y    pos_sensor_R.x    pos_sensor_R.y    gaze_origin_L.x(mm)   gaze_origin_L.y(mm)   gaze_origin_L.z(mm)   gaze_origin_R.x(mm)   gaze_origin_R.y(mm)   gaze_origin_R.z(mm)   gaze_direct_L.x   gaze_direct_L.y   gaze_direct_L.z   gaze_direct_R.x   gaze_direct_R.y   gaze_direct_R.z   gaze_sensitive    frown_L   frown_R   squeeze_L squeeze_R wide_L    wide_R    distance_valid_C  distance_C(mm)    track_imp_cnt
638227775140808755  1186863   26643    31  31  1   1   3.998367 4.196899 0.4642313   0.5760201   0.4691484   0.5322053   34.18596  1.256912  -30.42253  -30.71701  3.075195  -32.4966  0.03126526  -0.01098633  0.9994354  0.04017639  -0.03868103  0.9984283  1   0  0  0    0    0.2137265   0.2137265   False 0   0
638227775140947849  1186863   26643    31  31  1   1   4.008835 4.229462 0.4656272   0.5934001   0.4626646   0.5494562   34.15027  1.099304  -30.73042  -30.61302  2.821838  -32.54713  0.02835083  -0.07699585  0.9966125  0.06091309  -0.09429932  0.9936676  1   0  0  0    0    0.2137265   0.2137265   False 0   0
638227775141052880  1186872   26644    31  31  1   1   3.910248 4.200195 0.4654916   0.612385   0.4588047   0.5645363   34.10991  0.654129  -30.22118  -30.52913  2.678665  -32.96104  0.03808594  -0.1403046  0.9893646  0.06665039  -0.1361694  0.9884338  1   0  0  0    0    0.1835359   0.1835359   False 0   0
638227775141235009  1186897   26647    31  31  0.9050935   0.9535486   4.039398 4.142532 0.4610195   0.647138   0.4505167   0.5976287   34.17134  0.5030975  -31.42621  -30.35641  2.026947  -32.39479  0.05078125  -0.2613831  0.9638824  0.08355713  -0.2441559  0.9661255  1   0  0  0    0    0   0   False 0   0
638227775141374639  1186905   26648    31  31  0.9050935   0.9535486   3.920776 4.148041 0.4587415   0.6618941   0.4451022   0.6148291   34.20131  0.288559  -31.50468  -30.28923  1.809326  -32.44466  0.05825806  -0.3048248  0.9506073  0.1049805  -0.3036346  0.9469757  1   0  0  0    0    0   0   False 0   0
638227775141563479  1186938   26652    31  31  0.8274018   0.7710673   3.986588 4.288193 0.4566101   0.6956112   0.4472124   0.6489704   34.16875  -0.08718872  -31.64052  -30.30992  1.383362  -32.59468  0.07749939  -0.4277344  0.9005585  0.09545898  -0.4149628  0.9048157  1   0  0  0    0    0   0   False 0   0
638227775141709559  1186947   26653    31  31  0.8274018   0.7710673   3.998962 4.234894 0.4571878   0.6930844   0.4504359   0.6435378   34.18645  -0.01547241  -31.61807  -30.38737  1.443649  -32.56364  0.06890869  -0.4300385  0.9001617  0.09208679  -0.3966522  0.9133301  1   0  0  0    0    0   0   False 0   0
638227775141823043  1186963   26655    31  31  0.829811   0.8030016   3.986816 4.126404 0.4613499   0.6731534   0.4610065   0.6264517   34.14622  0.2776489  -31.48347  -30.60133  1.731461  -32.46828  0.05169678  -0.37883  0.9240112  0.0708313  -0.3600311  0.9302368  1   0  0  0    0    0   0   False 0   0
638227775141938572  1186963   26655    31  31  0.829811   0.8030016   3.986816 4.126404 0.4613499   0.6731534   0.4610065   0.6264517   34.14622  0.2776489  -31.48347  -30.60133  1.731461  -32.46828  0.05169678  -0.37883  0.9240112  0.0708313  -0.3600311  0.9302368  1   0  0  0    0    0   0   False 0   0
638227775142048628  1186980   26657    31  31  0.8290851   0.795674   4.074158 4.105759 0.4628029   0.670302   0.4632492   0.6219104   34.13109  0.3111115  -31.46451  -30.64767  1.810501  -32.44315  0.04486084  -0.3690643  0.9283142  0.0664978  -0.3506317  0.9341431  1   0  0  0    0    0   0   False 0   0
638227775142168305  1186980   26657    31  31  0.8290851   0.795674   3.963089 4.198898 0.466897   0.6660748   0.4678359   0.614558   34.08569  0.4031677  -31.4351  -30.73164  1.901917  -32.41827  0.02784729  -0.3652496  0.930481  0.05560303  -0.325592  0.9438629  1   0  0  0    0    0   0   False 0   0
638227775142360133  1187005   26660    31  31  0.8282978   0.8118044   4.01384 4.218353 0.4695369   0.6602947   0.4703938   0.6118321   34.06525  0.4380188  -31.42296  -30.76389  1.955933  -32.40286  0.01409912  -0.3355255  0.9419098  0.04563904  -0.3212891  0.9458771  1   0  0  0    0    0   0   False 0   0
638227775142499766  1187022   26662    31  31  0.847969   0.8164657   3.96463 4.167175 0.4718902   0.6493967   0.4740139   0.5997559   34.00784  0.648407  -31.36948  -30.8591  2.151855  -32.35674  0.01335144  -0.3163757  0.9485321  0.04342651  -0.2907562  0.9557953  1   0  0  0    0    0   0   False 0   0
638227775142689255  1187047   26665    31  31  0.8363723   0.8618648   4.076385 4.077438 0.4745629   0.6414241   0.4773918   0.5944121   33.96548  0.7720337  -31.32626  -30.90068  2.271835  -32.33749  0.004959106  -0.2943878  0.955658  0.02928162  -0.2848206  0.9581299  1   0  0  0    0    0   0   False 0   0
638227775142833774  1187063   26667    31  31  0.8527882   0.8534606   4.014847 4.245514 0.4775654   0.6340781   0.4822456   0.5881484   33.93231  0.8209076  -31.26961  -30.96991  2.330215  -32.33411  -0.007385254  -0.2594604  0.9657135  0.01260376  -0.256485  0.9664612  1   0  0  0    0    0   0   False 0   0
638227775142948735  1187072   26668    31  31  0.8527882   0.8534606   4.043427 4.263977 0.4812908   0.6320997   0.4862158   0.582322   33.87146  0.8566742  -31.27055  -31.02887  2.399033  -32.35641  -0.01901245  -0.2539215  0.9670258  -0.001113892  -0.2317657  0.9727631  1   0  0  0    0    0   0   False 0   0
638227775143138104  1187080   26669    31  31  0.8572279   0.8546979   4.043427 4.263977 0.4812908   0.6320997   0.4862158   0.582322   33.87146  0.8566742  -31.27055  -31.02887  2.399033  -32.35641  -0.01901245  -0.2539215  0.9670258  -0.001113892  -0.2317657  0.9727631  1   0  0  0    0    0   0   False 0   0
638227775143374540  1187105   26672    31  31  0.8688507   0.8765739   3.909164 4.085052 0.484129   0.6303542   0.48963   0.5793133   33.81265  0.8842468  -31.22955  -31.08746  2.419601  -32.31606  -0.02354431  -0.2517548  0.9674988  -0.01159668  -0.2195129  0.9755249  1   0  0  0    0    0   0   False 0   0
638227775143512381  1187130   26675    31  31  0.8877953   0.8918307   4.102356 4.144958 0.4900432   0.6267021   0.4944502   0.5771095   33.73273  0.942215  -31.19984  -31.15312  2.445068  -32.33806  -0.0475769  -0.2411652  0.9692993  -0.02938843  -0.2086182  0.9775391  1   0  0  0    0    0   0   False 0   0
638227775143622084  1187138   26676    31  31  0.8885158   0.89254   4.113388 4.154877 0.4915763   0.621023   0.4978605   0.5757512   33.70663  0.9269867  -31.10138  -31.19664  2.428436  -32.34146  -0.05194092  -0.2037964  0.9776306  -0.04289246  -0.1947632  0.9799042  1   0  0  0    0    0   0   False 0   0
638227775143731799  1187155   26678    31  31  0.9039318   0.8911043   4.132935 4.213379 0.4926152   0.619533   0.498679   0.57356   33.6909  1.001709  -31.24818  -31.22346  2.444626  -32.35374  -0.0552063  -0.2010345  0.9780121  -0.04190063  -0.1826324  0.9822845  1   0  0  0    0    0   0   False 0   0
638227775143919772  1187163   26679    31  31  0.9039318   0.8911043   4.132935 4.213379 0.4926152   0.619533   0.498679   0.57356   33.6909  1.001709  -31.24818  -31.22346  2.444626  -32.35374  -0.0552063  -0.2010345  0.9780121  -0.04190063  -0.1826324  0.9822845  1   0  0  0    0    0   0   False 0   0
638227775144089291  1187188   26682    31  31  0.8814701   0.9009093   4.163895 4.21376 0.4937973   0.6156196   0.5005699   0.5709833   33.66235  1.054962  -31.31339  -31.24802  2.510681  -32.34505  -0.05619812  -0.1813049  0.9818115  -0.04937744  -0.1813202  0.9821777  1   0  0  0    0    0   0   False 0   0
638227775144189017  1187205   26684    31  31  0.8305122   0.8337948   4.193817 4.33873 0.4508587   0.6418878   0.4498303   0.5926895   34.35063  0.6424255  -31.37364  -30.31363  2.14212  -32.39282  0.07847595  -0.2626953  0.9616699  0.07862854  -0.2377167  0.9681396  1   0  0  0    0    0   0   False 0   0
638227775144365886  1187213   26685    31  31  0.8305122   0.8337948   4.188202 4.372772 0.4344915   0.6526396   0.4295681   0.6051316   34.63579  0.4432068  -31.46115  -30.00447  2.018921  -32.41985  0.1226196  -0.2816162  0.9516449  0.144516  -0.2888947  0.9463806  1   0  0  0    0    0   0   False 0   0
638227775144595269  1187238   26688    31  31  0.723744   0.8693696   4.278275 4.458511 0.4115244   0.6712086   0.4033509   0.6183204   34.96811  0.2516632  -31.59024  -29.57091  1.817383  -32.53062  0.199646  -0.3488159  0.9156647  0.2193604  -0.3179321  0.9223785  1   0  0  0    0    0   0   False 0   0
